Name,Stars,Forks,Language,Domain
petkaantonov/bluebird,13603,1666,JavaScript,Non-web libraries and frameworks
PhilJay/MPAndroidChart,13583,4192,Java,Non-web libraries and frameworks
fastlane/fastlane,13583,2069,Ruby,Software tools
koajs/koa,13518,1174,JavaScript,Web libraries and frameworks
dhg/Skeleton,13379,2384,CSS,Web libraries and frameworks
pugjs/pug,13361,1684,JavaScript,Web libraries and frameworks
aosabook/500lines,13361,2770,JavaScript,Documentation
postcss/postcss,13302,721,JavaScript,Web libraries and frameworks
square/leakcanary,13256,2311,Java,Software tools
opencv/opencv,13192,10531,C++,Non-web libraries and frameworks
weui/weui,13192,3691,HTML,Web libraries and frameworks
SwiftyJSON/SwiftyJSON,13160,2439,Swift,Non-web libraries and frameworks
facebook/flux,13124,3541,JavaScript,Web libraries and frameworks
greenrobot/EventBus,13029,3384,Java,Non-web libraries and frameworks
dokku/dokku,13002,1152,Shell,Software tools
bumptech/glide,12974,2744,Java,Web libraries and frameworks
dimsemenov/PhotoSwipe,12965,1865,JavaScript,Web libraries and frameworks
pixijs/pixi.js,12916,2356,JavaScript,Web libraries and frameworks
kriskowal/q,12828,1085,JavaScript,Non-web libraries and frameworks
Valloric/YouCompleteMe,12824,1510,Python,Software tools
tornadoweb/tornado,12818,3880,Python,Non-web libraries and frameworks
isocpp/CppCoreGuidelines,12789,1494,Python,Documentation
jdg/MBProgressHUD,12745,3232,Objective-C,Non-web libraries and frameworks
angular-ui/ui-router,12713,3076,TypeScript,Web libraries and frameworks
danielgindi/Charts,12670,2281,Swift,Non-web libraries and frameworks
google/iosched,12650,4823,Java,Application software
rstacruz/nprogress,12630,1154,JavaScript,Web libraries and frameworks
tobiasahlin/SpinKit,12592,1182,CSS,Web libraries and frameworks
designmodo/Flat-UI,12561,2352,JavaScript,Web libraries and frameworks
lord/slate,12522,7061,JavaScript,Web libraries and frameworks
square/picasso,12493,3389,Java,Non-web libraries and frameworks
angular/angular-seed,12493,7162,JavaScript,Web libraries and frameworks
kriasoft/react-starter-kit,12447,2507,JavaScript,Web libraries and frameworks
feross/webtorrent,12440,1037,JavaScript,Non-web libraries and frameworks
ParsePlatform/parse-server,12426,3386,JavaScript,Software tools
github/fetch,12311,819,JavaScript,Web libraries and frameworks
mzabriskie/axios,12309,641,JavaScript,Web libraries and frameworks
jcjohnson/neural-style,12243,1817,Lua,Non-web libraries and frameworks
reddit/reddit,12223,2298,Python,Application software
XX-net/XX-Net,12182,4233,Python,Non-web libraries and frameworks
julianshapiro/velocity,12101,1194,JavaScript,Web libraries and frameworks
coreos/etcd,12101,2209,Go,System software
quilljs/quill,12051,720,JavaScript,Web libraries and frameworks
github/hubot,12048,2804,CoffeeScript,Software tools
jasmine/jasmine,12044,1839,JavaScript,Web libraries and frameworks
spring-projects/spring-framework,12009,9350,Java,Web libraries and frameworks
madrobby/zepto,11956,3245,HTML,Web libraries and frameworks
dkhamsing/open-source-ios-apps,11933,2142,Swift,Documentation
alibaba/weex,11932,1665,JavaScript,Non-web libraries and frameworks
zxing/zxing,11884,5977,Java,Non-web libraries and frameworks
jgthms/bulma,11855,678,CSS,Web libraries and frameworks
knsv/mermaid,11838,591,JavaScript,Web libraries and frameworks
twbs/bootstrap-sass,11734,2931,Ruby,Web libraries and frameworks
enyo/dropzone,11732,2848,JavaScript,Web libraries and frameworks
facebook/fresco,11723,3185,Java,Non-web libraries and frameworks
postcss/autoprefixer,11715,657,CoffeeScript,Web libraries and frameworks
mxstbr/react-boilerplate,11669,1489,JavaScript,Web libraries and frameworks
chjj/marked,11585,1648,HTML,Web libraries and frameworks
domnikl/DesignPatternsPHP,11531,2457,PHP,Documentation
Thibaut/devdocs,11515,757,Ruby,Documentation
npm/npm,11500,2330,JavaScript,Software tools
apache/spark,11485,10760,Scala,Software tools
fchollet/keras,11474,3802,Python,Non-web libraries and frameworks
getsentry/sentry,11457,1368,Python,Software tools
ruby/ruby,11412,3209,Ruby,System software
kripken/emscripten,11384,1389,C,Software tools
mochajs/mocha,11381,1678,JavaScript,Software tools
jlmakes/scrollreveal,11380,1447,JavaScript,Web libraries and frameworks
wycats/handlebars.js,11372,1519,JavaScript,Web libraries and frameworks
riot/riot,11366,906,JavaScript,Web libraries and frameworks
ipader/SwiftGuide,11347,3069,Swift,Documentation
desandro/masonry,11294,1933,JavaScript,Web libraries and frameworks
Automattic/mongoose,11282,1766,JavaScript,Non-web libraries and frameworks
gruntjs/grunt,11276,1454,JavaScript,Software tools
HubSpot/pace,11219,1357,CSS,Web libraries and frameworks
php/php-src,11203,3784,C,System software
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,11181,3221,Jupyter Notebook,Documentation
dotnet/corefx,11164,2878,C#,System software
textmate/textmate,11153,1730,Objective-C++,Application software
ggreer/the_silver_searcher,11149,793,C,Software tools
bitcoin/bitcoin,11140,7280,C++,Application software
ccgus/fmdb,11091,2581,Objective-C,System software
diaspora/diaspora,11038,2809,Ruby,Application software
naptha/tesseract.js,11027,520,JavaScript,Web libraries and frameworks
ipython/ipython,11027,3271,Python,Non-web libraries and frameworks
matteocrippa/awesome-swift,10975,1551,Swift,Documentation
node-inspector/node-inspector,10941,701,JavaScript,Software tools
cheeriojs/cheerio,10937,840,JavaScript,Non-web libraries and frameworks
wagerfield/parallax,10913,1723,JavaScript,Web libraries and frameworks
tensorflow/models,10862,2996,Python,Documentation
etsy/statsd,10856,1489,JavaScript,Software tools
h5bp/Effeckt.css,10855,1520,CSS,Web libraries and frameworks
codemirror/CodeMirror,10835,2694,JavaScript,Web libraries and frameworks
tonsky/FiraCode,10775,309,Clojure,Software tools
Bilibili/ijkplayer,10754,3424,C,Non-web libraries and frameworks
airbnb/superset,10739,1344,Python,Software tools
mongodb/mongo,10732,2926,C++,System software
legomushroom/mojs,10731,465,JavaScript,Web libraries and frameworks
ReactiveX/RxAndroid,10712,1920,Java,Non-web libraries and frameworks
nolimits4web/Swiper,10700,3923,JavaScript,Web libraries and frameworks
substack/node-browserify,10668,952,JavaScript,Software tools
wg/wrk,10658,824,C,Software tools
scottjehl/Respond,10648,3583,JavaScript,Web libraries and frameworks
Shopify/dashing,10600,1166,JavaScript,Web libraries and frameworks
altercation/solarized,10599,2851,VimL,Application software
juliangarnier/anime,10597,580,JavaScript,Web libraries and frameworks
raywenderlich/swift-algorithm-club,10582,1369,Swift,Documentation
libgdx/libgdx,10581,5031,Java,Non-web libraries and frameworks
kennethreitz/python-guide,10572,3478,Batchfile,Documentation
syl20bnr/spacemacs,10518,2733,Emacs Lisp,Software tools
facebook/AsyncDisplayKit,10494,1860,Objective-C,Non-web libraries and frameworks
driftyco/ionicons,10456,1133,HTML,Web libraries and frameworks
RocketChat/Rocket.Chat,10452,2246,JavaScript,Application software
caskroom/homebrew-cask,10357,4532,Ruby,Software tools
MostlyAdequate/mostly-adequate-guide,10346,780,JavaScript,Documentation
PerfectlySoft/Perfect,10327,715,Swift,Web libraries and frameworks
drduh/macOS-Security-and-Privacy-Guide,10297,602,Python,Documentation
janl/mustache.js,10297,1976,JavaScript,Web libraries and frameworks
chriskempson/tomorrow-theme,10280,2317,CSS,Software tools
Mantle/Mantle,10276,1429,Objective-C,Non-web libraries and frameworks
loverajoel/jstips,10244,640,CSS,Documentation
faif/python-patterns,10229,2460,Python,Documentation
segmentio/nightmare,10220,556,JavaScript,Non-web libraries and frameworks
requirejs/requirejs,10138,1915,JavaScript,Web libraries and frameworks
jfeinstein10/SlidingMenu,10132,5602,Java,Non-web libraries and frameworks
ryanmcdermott/clean-code-javascript,10124,769,JavaScript,Documentation
magicalpanda/MagicalRecord,10091,1832,Objective-C,Software tools
fzaninotto/Faker,10043,1561,PHP,Web libraries and frameworks
jquery/jquery-mobile,10008,2658,JavaScript,Web libraries and frameworks
soimort/you-get,9998,1955,Python,Application software
adobe-fonts/source-code-pro,9993,951,Python,Software tools
facebook/flow,9987,776,OCaml,Software tools
MengTo/Spring,9971,1073,Swift,Non-web libraries and frameworks
octocat/Spoon-Knife,9961,88459,HTML,Documentation
apache/incubator-predictionio,9925,1573,Scala,System software
RestKit/RestKit,9923,2261,Objective-C,Web libraries and frameworks
yabwe/medium-editor,9863,1181,JavaScript,Web libraries and frameworks
VerbalExpressions/JSVerbalExpressions,9852,448,JavaScript,Non-web libraries and frameworks
mattermost/platform,9841,1381,JavaScript,Application software
ant-design/ant-design,9815,1740,CSS,Web libraries and frameworks
jquery/jquery-ui,9814,4261,JavaScript,Web libraries and frameworks
verekia/js-stack-from-scratch,9797,734,JavaScript,Documentation
CoderMJLee/MJRefresh,9791,3022,Objective-C,Non-web libraries and frameworks
linnovate/mean,9782,2925,JavaScript,Web libraries and frameworks
mholt/caddy,9775,638,Go,System software
github/hub,9751,892,Go,Software tools
spring-projects/spring-boot,9738,9212,Java,Software tools
jessesquires/JSQMessagesViewController,9734,2323,Objective-C,Non-web libraries and frameworks
realm/realm-cocoa,9733,1213,Objective-C,System software
addyosmani/backbone-fundamentals,9732,1602,JavaScript,Documentation
jondot/awesome-react-native,9728,1167,Ruby,Documentation
kilimchoi/engineering-blogs,9723,1098,Ruby,Documentation
alcatraz/Alcatraz,9723,1278,Objective-C,Software tools
git-tips/tips,9701,651,JavaScript,Documentation
spf13/spf13-vim,9678,2960,VimL,Software tools
xdissent/ievms,9676,490,Shell,Software tools
remy/nodemon,9673,707,JavaScript,Software tools
influxdata/influxdb,9667,1358,Go,System software
jaredhanson/passport,9650,598,JavaScript,Web libraries and frameworks
visionmedia/superagent,9631,907,JavaScript,Web libraries and frameworks
loopj/android-async-http,9585,4328,Java,Non-web libraries and frameworks
Flipboard/react-canvas,9578,785,JavaScript,Web libraries and frameworks
substack/stream-handbook,9552,690,JavaScript,Documentation
browserstate/history.js,9546,1379,JavaScript,Web libraries and frameworks
imathis/octopress,9538,3051,Ruby,Application software
DefinitelyTyped/DefinitelyTyped,9514,7690,TypeScript,Documentation
jwagner/smartcrop.js,9497,430,JavaScript,Non-web libraries and frameworks
yiisoft/yii2,9475,5428,PHP,Web libraries and frameworks
cocos2d/cocos2d-x,9466,5946,C++,Non-web libraries and frameworks
astaxie/beego,9441,2269,Go,Web libraries and frameworks
ampproject/amphtml,9437,1509,JavaScript,Web libraries and frameworks
LightTable/LightTable,9428,827,Clojure,Software tools
tj/git-extras,9414,678,Shell,Software tools
julycoding/The-Art-Of-Programming-By-July,9371,4593,C,Documentation
Microsoft/CNTK,9300,2239,C++,Non-web libraries and frameworks
