Name,Stars,Forks,Language,Domain
Frege/frege,2638,111,Frege,System software
0xced/iOS-Artwork-Extractor,2636,260,Objective-C,Non-web libraries and frameworks
JodaOrg/joda-time,2635,602,Java,Non-web libraries and frameworks
ccampbell/rainbow,2633,303,JavaScript,Web libraries and frameworks
darsain/sly,2632,461,JavaScript,Web libraries and frameworks
stretchr/testify,2631,293,Go,Non-web libraries and frameworks
mikesall/charted,2629,162,JavaScript,Web libraries and frameworks
liuxinyu95/AlgoXY,2628,461,TeX,Documentation
ziahamza/webui-aria2,2628,514,JavaScript,Software tools
awslabs/aws-shell,2628,131,Python,Software tools
chjj/ttystudio,2628,69,JavaScript,Web libraries and frameworks
nicolashery/mac-dev-setup,2627,583,Shell,Documentation
esvit/ng-table,2625,909,TypeScript,Web libraries and frameworks
avast/android-butterknife-zelezny,2625,369,Java,Software tools
chocolatey/choco,2624,316,C#,Software tools
garand/sticky,2624,854,JavaScript,Web libraries and frameworks
mojombo/chronic,2624,363,Ruby,Non-web libraries and frameworks
functional-koans/clojure-koans,2622,1516,Clojure,Documentation
FLIF-hub/FLIF,2622,141,C++,Non-web libraries and frameworks
testem/testem,2620,309,JavaScript,Software tools
pandao/editor.md,2619,598,JavaScript,Web libraries and frameworks
mikel/mail,2619,635,Ruby,Non-web libraries and frameworks
jpetazzo/pipework,2618,441,Shell,Software tools
GetmeUK/ContentTools,2617,250,JavaScript,Web libraries and frameworks
meltingice/CamanJS,2617,307,HTML,Web libraries and frameworks
bevacqua/rome,2617,199,JavaScript,Web libraries and frameworks
rbenv/ruby-build,2616,531,Shell,Software tools
invoiceninja/invoiceninja,2615,856,JavaScript,Application software
tyrantgit/ExplosionField,2615,507,Java,Non-web libraries and frameworks
royrusso/elasticsearch-HQ,2614,229,JavaScript,Software tools
vue-bulma/vue-admin,2614,398,Vue,Web libraries and frameworks
SlexAxton/yepnope.js,2614,377,JavaScript,Software tools
sequelpro/sequelpro,2612,264,Objective-C,Software tools
thephpleague/oauth2-server,2611,577,PHP,System software
benhowdle89/grade,2611,105,JavaScript,Web libraries and frameworks
WhitestormJS/whitestorm.js,2610,125,JavaScript,Web libraries and frameworks
formvalidation/formvalidation,2610,1597,JavaScript,Web libraries and frameworks
denysdovhan/bash-handbook,2610,182,JavaScript,Documentation
pi-hole/pi-hole,2609,303,Shell,Software tools
swanson/stringer,2609,291,Ruby,Application software
jlantunez/webslides,2609,147,HTML,Web libraries and frameworks
okmr-d/DOFavoriteButton,2606,232,Swift,Non-web libraries and frameworks
matthewhudson/device.js,2605,476,JavaScript,Web libraries and frameworks
koreader/koreader,2605,413,Lua,Application software
gali8/Tesseract-OCR-iOS,2604,631,C,Non-web libraries and frameworks
googlesamples/md2googleslides,2604,88,JavaScript,Software tools
kovidgoyal/calibre,2602,619,Python,Documentation
jasarien/Provenance,2597,344,C,Software tools
peek/peek,2597,125,Ruby,Non-web libraries and frameworks
ipfs/go-ipfs,2596,424,Go,Software tools
omab/python-social-auth,2595,1151,Python,Web libraries and frameworks
kemayo/sublime-text-git,2594,358,Python,Software tools
google/roboto,2591,218,Python,Software tools
http2/http2-spec,2586,475,XSLT,Documentation
twitter/heron,2586,452,Java,Software tools
PokemonGoMap/PokemonGo-Map,2586,1540,Python,Application software
dcodeIO/protobuf.js,2585,373,JavaScript,Non-web libraries and frameworks
thoughtbot/clearance,2583,329,Ruby,Web libraries and frameworks
tbruyelle/RxPermissions,2581,310,Java,Non-web libraries and frameworks
Codeception/Codeception,2580,957,PHP,Web libraries and frameworks
weibocom/motan,2579,973,Java,Non-web libraries and frameworks
smartystreets/goconvey,2579,212,Go,Web libraries and frameworks
Russell91/pythonpy,2579,128,Python,Software tools
github/janky,2579,213,Ruby,Software tools
webdriverio/webdriverio,2578,694,JavaScript,Web libraries and frameworks
pudo/dataset,2578,152,Python,Software tools
chrisboulton/php-resque,2577,637,PHP,Web libraries and frameworks
tmux-plugins/tpm,2576,83,Shell,Software tools
visit1985/mdp,2576,134,C,Application software
PowerShell/Win32-OpenSSH,2575,219,C,Software tools
lukas2511/dehydrated,2575,321,Shell,Software tools
pengjianbo/GalleryFinal,2574,732,Java,Non-web libraries and frameworks
facebookgo/grace,2574,176,Go,Software tools
qii/weiciyuan,2573,1361,Java,Application software
foru17/front-end-collect,2572,1503,JavaScript,Documentation
reek/anti-adblock-killer,2572,285,JavaScript,Application software
activeadmin/inherited_resources,2570,333,Ruby,Non-web libraries and frameworks
jpillora/xdomain,2569,206,JavaScript,Web libraries and frameworks
NLPchina/ansj_seg,2568,1428,Java,Non-web libraries and frameworks
kikoso/android-stackblur,2568,634,Java,Non-web libraries and frameworks
substack/dnode,2568,201,JavaScript,Non-web libraries and frameworks
id-Software/DOOM-3-BFG,2567,810,C++,Application software
qfish/XAlign,2566,413,Objective-C,Software tools
waditu/tushare,2564,1345,Python,Non-web libraries and frameworks
codeinthedark/editor,2564,557,HTML,Application software
fogleman/nes,2563,207,Go,Application software
alfajango/jquery-dynatable,2562,315,JavaScript,Web libraries and frameworks
ibireme/YYWebImage,2562,468,Objective-C,Non-web libraries and frameworks
tawian/text-spinners,2562,100,HTML,Web libraries and frameworks
wequick/Small,2561,672,Java,Non-web libraries and frameworks
BigZaphod/Chameleon,2560,368,Objective-C,Non-web libraries and frameworks
leongersen/noUiSlider,2560,371,JavaScript,Web libraries and frameworks
johannilsson/android-pulltorefresh,2559,1197,Java,Non-web libraries and frameworks
luin/ioredis,2559,231,JavaScript,Non-web libraries and frameworks
thoughtbot/high_voltage,2559,149,Ruby,Web libraries and frameworks
acdlite/redux-actions,2558,121,JavaScript,Web libraries and frameworks
m1entus/MZFormSheetController,2557,338,Objective-C,Non-web libraries and frameworks
sagivo/algorithms,2556,238,Ruby,Documentation
sublimehq/Packages,2556,280,Python,Software tools
typcn/bilibili-mac-client,2556,338,Objective-C,Application software
garbles/why-did-you-update,2555,48,JavaScript,Web libraries and frameworks
lisa-lab/DeepLearningTutorials,2555,1501,Python,Documentation
mailgun/godebug,2554,106,Go,Software tools
edwardtufte/tufte-css,2554,182,HTML,Web libraries and frameworks
SVGKit/SVGKit,2553,576,Objective-C,Non-web libraries and frameworks
lib/pq,2553,363,Go,Non-web libraries and frameworks
andrewngu/sound-redux,2552,375,JavaScript,Application software
johncarl81/parceler,2552,198,Java,Non-web libraries and frameworks
jp9000/OBS,2551,737,C,Application software
real-logic/Aeron,2551,279,Java,Non-web libraries and frameworks
Squirrel/Squirrel.Windows,2549,358,C++,Software tools
lelylan/betterspecs,2548,241,HTML,Documentation
leemunroe/grunt-email-workflow,2547,275,CSS,Web libraries and frameworks
jejacks0n/mercury,2546,537,JavaScript,Web libraries and frameworks
EmergingTechnologyAdvisors/node-serialport,2544,553,JavaScript,Non-web libraries and frameworks
jasonross/Nuwa,2542,537,Java,Non-web libraries and frameworks
moovweb/gvm,2542,174,Shell,Software tools
malcommac/SwiftDate,2541,269,Swift,Non-web libraries and frameworks
yeun/open-color,2541,96,CSS,Web libraries and frameworks
trentrichardson/jQuery-Timepicker-Addon,2540,949,JavaScript,Web libraries and frameworks
alda-lang/alda,2539,166,Clojure,Non-web libraries and frameworks
ghosh/uiGradients,2539,389,JavaScript,Web libraries and frameworks
IFTTT/RazzleDazzle,2539,205,Swift,Non-web libraries and frameworks
pilu/web-app-theme,2539,406,Ruby,Web libraries and frameworks
ma6174/vim,2538,2087,VimL,Software tools
sensu/sensu,2538,355,Ruby,Software tools
Sumi-Interactive/SIAlertView,2538,473,Objective-C,Non-web libraries and frameworks
reorx/httpstat,2537,126,Python,Software tools
01org/acat,2536,583,C#,Software tools
spring-projects/spring-mvc-showcase,2535,2396,Java,Documentation
Shougo/unite.vim,2535,229,VimL,Software tools
facebook/Haxl,2534,221,Haskell,Non-web libraries and frameworks
kishikawakatsumi/KeychainAccess,2534,272,Swift,Non-web libraries and frameworks
gontovnik/DGElasticPullToRefresh,2534,277,Swift,Non-web libraries and frameworks
buildbot/buildbot,2534,1025,Python,Non-web libraries and frameworks
jamesflorentino/nanoScrollerJS,2533,536,JavaScript,Web libraries and frameworks
joestump/python-oauth2,2532,982,Python,Web libraries and frameworks
svaarala/duktape,2532,233,JavaScript,Non-web libraries and frameworks
TechEmpower/FrameworkBenchmarks,2532,847,PHP,Software tools
laverdet/node-fibers,2532,172,C++,Non-web libraries and frameworks
Hammerspoon/hammerspoon,2531,155,Objective-C,Software tools
samyk/evercookie,2530,440,JavaScript,Web libraries and frameworks
pbatard/rufus,2530,362,C,Application software
jorgebastida/glue,2529,180,Python,Software tools
geeeeeeeeek/git-recipes,2528,777,GCC Machine Description,Documentation
freebsd/freebsd,2527,1044,C,System software
tapquo/Lungo.js,2526,687,CSS,Web libraries and frameworks
aziz/PlainTasks,2526,239,Python,Software tools
badoo/Chatto,2526,297,Swift,Non-web libraries and frameworks
boxen/our-boxen,2525,1056,Ruby,Documentation
realpython/discover-flask,2523,304,Python,Web libraries and frameworks
fians/Waves,2523,375,JavaScript,Web libraries and frameworks
GarageGames/Torque3D,2522,1144,C++,Non-web libraries and frameworks
google/ios-webkit-debug-proxy,2522,229,C,Web libraries and frameworks
mobz/elasticsearch-head,2521,582,JavaScript,Software tools
wesm/pydata-book,2520,3094,Jupyter Notebook,Documentation
wasabeef/richeditor-android,2520,538,Java,Non-web libraries and frameworks
kenwheeler/cash,2520,111,JavaScript,Web libraries and frameworks
jasny/bootstrap,2519,503,JavaScript,Web libraries and frameworks
tj/should.js,2519,208,JavaScript,Non-web libraries and frameworks
postgres/postgres,2519,811,C,Non-web libraries and frameworks
angular-ui/angular-google-maps,2518,1080,CoffeeScript,Web libraries and frameworks
antimatter15/ocrad.js,2517,293,JavaScript,Non-web libraries and frameworks
rockerhieu/emojicon,2516,745,Java,Non-web libraries and frameworks
davemorrissey/subsampling-scale-image-view,2516,431,Java,Non-web libraries and frameworks
google/incremental-dom,2516,105,JavaScript,Web libraries and frameworks
fitztrev/shuttle,2514,221,Objective-C,Application software
leichunfeng/MVVMReactiveCocoa,2510,609,Objective-C,Application software
johnpolacek/scrollorama,2510,399,JavaScript,Web libraries and frameworks
spf13/viper,2510,267,Go,Non-web libraries and frameworks
drupal/drupal,2510,1257,PHP,Application software
octokit/octokit.rb,2509,671,Ruby,Web libraries and frameworks
timehop/sticky-headers-recyclerview,2508,537,Java,Non-web libraries and frameworks
ricochet-im/ricochet,2506,272,C++,Application software
01org/appframework,2505,997,CSS,Web libraries and frameworks
dotnet/orleans,2504,624,C#,Non-web libraries and frameworks
emacs-tw/awesome-emacs,2504,239,Emacs Lisp,Documentation
cwRichardKim/RKNotificationHub,2504,274,Objective-C,Non-web libraries and frameworks
bingoogolapple/BGARefreshLayout-Android,2503,741,Java,Non-web libraries and frameworks
prasmussen/gdrive,2503,236,Go,Software tools
donnemartin/dev-setup,2503,429,Python,Software tools
qvacua/vimr,2503,82,Swift,Software tools
callmecavs/jump.js,2503,106,JavaScript,Web libraries and frameworks
noodlewerk/NWPusher,2502,273,Objective-C,Non-web libraries and frameworks
VodkaBears/Remodal,2502,582,JavaScript,Web libraries and frameworks
jimbojsb/launchrocket,2502,84,Objective-C,Software tools
ybq/Android-SpinKit,2500,447,Java,Non-web libraries and frameworks
morhetz/gruvbox,2500,197,VimL,Software tools
kahopoon/Pokemon-Go-Controller,2499,317,Swift,Application software
kylestetz/CLNDR,2498,401,JavaScript,Web libraries and frameworks
jquery-boilerplate/jquery-boilerplate,2498,536,JavaScript,Web libraries and frameworks
PeterDing/iScript,2497,741,Python,Documentation
ZipArchive/ZipArchive,2497,730,C,Non-web libraries and frameworks
dianping/cat,2496,1311,JavaScript,Software tools
DisposaBoy/GoSublime,2496,224,Go,Software tools
benvanik/xenia,2496,282,C++,Software tools
ibireme/YYModel,2496,536,Objective-C,Non-web libraries and frameworks
github/gemoji,2495,369,Ruby,Web libraries and frameworks
chrismiles/CMPopTipView,2495,471,Objective-C,Non-web libraries and frameworks
MobileChromeApps/mobile-chrome-apps,2494,358,Python,Application software
luvit/luvit,2494,273,Lua,Non-web libraries and frameworks
voronianski/flux-comparison,2494,196,JavaScript,Documentation
OptiKey/OptiKey,2493,300,C#,Application software
OfficeDev/office-ui-fabric-core,2492,342,CSS,Web libraries and frameworks
relatedcode/Messenger,2492,633,Objective-C,Application software
kubernetes/minikube,2491,300,Go,Software tools
tjunnone/npm-check-updates,2491,89,JavaScript,Software tools
mrackwitz/MRProgress,2490,300,Objective-C,Non-web libraries and frameworks
witoldsz/angular-http-auth,2488,455,JavaScript,Web libraries and frameworks
kyleduo/SwitchButton,2486,605,Java,Non-web libraries and frameworks
urish/angular-moment,2486,380,JavaScript,Web libraries and frameworks
leolin310148/ShortcutBadger,2485,553,Java,Non-web libraries and frameworks
nexe/nexe,2485,170,JavaScript,Software tools
wireservice/csvkit,2484,359,Python,Non-web libraries and frameworks
steipete/PSTCollectionView,2483,537,Objective-C,Non-web libraries and frameworks
picocms/Pico,2483,461,PHP,Application software
dogo/SCLAlertView,2483,377,Objective-C,Non-web libraries and frameworks
houtianze/bypy,2482,682,Python,Web libraries and frameworks
flask-restful/flask-restful,2482,490,Python,Web libraries and frameworks
daimajia/AndroidViewHover,2482,705,Java,Non-web libraries and frameworks
airbnb/hypernova,2481,67,JavaScript,Web libraries and frameworks
spray/spray,2480,603,Scala,Web libraries and frameworks
shakacode/react_on_rails,2480,270,Ruby,Web libraries and frameworks
searchkit/searchkit,2480,165,TypeScript,Non-web libraries and frameworks
ephread/Instructions,2480,182,Swift,Non-web libraries and frameworks
paulirish/dotfiles,2479,1088,VimL,Software tools
arunoda/meteor-up,2479,444,JavaScript,Software tools
daltoniam/Starscream,2479,313,Swift,Non-web libraries and frameworks
typings/typings,2479,183,TypeScript,Software tools
ampedandwired/html-webpack-plugin,2479,263,JavaScript,Web libraries and frameworks
AlanQuatermain/AQGridView,2477,501,Objective-C,Non-web libraries and frameworks
what-studio/profiling,2476,87,Python,Software tools
zhxnlai/ZLSwipeableView,2476,327,Objective-C,Non-web libraries and frameworks
paulmillr/chokidar,2476,189,JavaScript,Non-web libraries and frameworks
tooling/book-of-modern-frontend-tooling,2474,166,JavaScript,Documentation
videolan/vlc,2473,1146,C,Application software
Turfjs/turf,2472,196,JavaScript,Web libraries and frameworks
laobie/StatusBarUtil,2472,509,Java,Non-web libraries and frameworks
linkedin/dustjs,2471,419,JavaScript,Web libraries and frameworks
Yalantis/Persei,2471,259,Swift,Non-web libraries and frameworks
dm77/barcodescanner,2470,717,Java,Non-web libraries and frameworks
NoamB/sorcery,2470,450,Ruby,Web libraries and frameworks
jeanphix/Ghost.py,2468,364,Python,Non-web libraries and frameworks
CellularPrivacy/Android-IMSI-Catcher-Detector,2465,501,Java,Non-web libraries and frameworks
michaeldfallen/git-radar,2465,84,Shell,Software tools
bestiejs/benchmark.js,2464,210,JavaScript,Web libraries and frameworks
openaphid/android-flip,2463,1353,Java,Non-web libraries and frameworks
davidstutz/bootstrap-multiselect,2463,1197,HTML,Web libraries and frameworks
zzmp/juliusjs,2461,164,JavaScript,Non-web libraries and frameworks
btford/write-good,2461,117,JavaScript,Non-web libraries and frameworks
yargs/yargs,2460,181,JavaScript,Non-web libraries and frameworks
hyperoslo/Whisper,2459,193,Swift,Non-web libraries and frameworks
oa414/objc-zen-book-cn,2458,601,Ruby,Documentation
travisjeffery/ClangFormat-Xcode,2458,280,Objective-C,Software tools
amir20/phantomjs-node,2458,398,JavaScript,Software tools
tiny-dnn/tiny-dnn,2457,647,C++,Non-web libraries and frameworks
Level/levelup,2457,183,JavaScript,Web libraries and frameworks
somerandomdude/Iconic,2456,434,Python,Non-web libraries and frameworks
Reportr/dashboard,2456,234,JavaScript,Application software
soulwire/sketch.js,2456,267,JavaScript,Web libraries and frameworks
Nyx0uf/NYXImagesKit,2455,337,Objective-C,Non-web libraries and frameworks
firstopinion/formatter.js,2455,226,JavaScript,Web libraries and frameworks
NanoHttpd/nanohttpd,2454,921,Java,Web libraries and frameworks
typesafehub/config,2454,381,Java,Non-web libraries and frameworks
rails/jquery-ujs,2453,495,JavaScript,Web libraries and frameworks
sprang/Inkpad,2452,468,Objective-C,Application software
WhisperSystems/Signal-iOS,2451,555,C,Application software
rsms/kod,2450,204,Objective-C,Application software
cisco/openh264,2450,868,C++,Non-web libraries and frameworks
Draveness/DKNightVersion,2449,374,Objective-C,Non-web libraries and frameworks
Zulko/moviepy,2448,389,Python,Non-web libraries and frameworks
ryanb/letter_opener,2448,174,Ruby,Web libraries and frameworks
bobthecow/mustache.php,2447,376,PHP,Web libraries and frameworks
Marak/colors.js,2447,194,JavaScript,Non-web libraries and frameworks
firebase/firepad,2446,526,JavaScript,Web libraries and frameworks
jteeuwen/go-bindata,2446,180,Go,Software tools
nathancahill/Split.js,2445,130,JavaScript,Web libraries and frameworks
hyperoslo/ImagePicker,2444,216,Swift,Non-web libraries and frameworks
bergie/create,2442,290,JavaScript,Web libraries and frameworks
yakyak/yakyak,2442,180,CoffeeScript,Application software
bergie/hallo,2442,357,CoffeeScript,Web libraries and frameworks
pyrocms/pyrocms,2441,894,PHP,Application software
electronicarts/EASTL,2440,217,C++,Non-web libraries and frameworks
JetBrains/ideavim,2440,289,Java,Software tools
TransitApp/SVWebViewController,2440,526,Objective-C,Non-web libraries and frameworks
austinzheng/swift-2048,2439,790,Swift,Application software
lzyzsd/JsBridge,2438,618,Java,Non-web libraries and frameworks
sachinchoolur/lightGallery,2438,510,JavaScript,Web libraries and frameworks
OpenKinect/libfreenect,2437,925,C,System software
jdan/cleaver,2437,237,JavaScript,Application software
wallabag/wallabag,2437,364,PHP,Application software
awslabs/s2n,2435,220,C,Non-web libraries and frameworks
tonsky/datascript,2434,165,Clojure,Non-web libraries and frameworks
nghialv/MaterialKit,2432,303,Swift,Non-web libraries and frameworks
NYTimes/pourover,2432,132,JavaScript,Web libraries and frameworks
Boris-Em/BEMSimpleLineGraph,2431,376,Objective-C,Non-web libraries and frameworks
apache/zookeeper,2430,1786,Java,System software
ryanhoo/StylishMusicPlayer,2430,450,Java,Non-web libraries and frameworks
apache/zeppelin,2429,1235,Java,Software tools
glfw/glfw,2429,649,C,Software tools
Qihoo360/Atlas,2428,750,C,Software tools
nuysoft/Mock,2428,407,JavaScript,Web libraries and frameworks
andkulikov/Transitions-Everywhere,2427,262,Java,Non-web libraries and frameworks
RPCS3/rpcs3,2425,487,C++,Software tools
marvelapp/devices.css,2423,257,CSS,Web libraries and frameworks
mgechev/javascript-algorithms,2422,495,JavaScript,Documentation
banchichen/TZImagePickerController,2421,596,Objective-C,Non-web libraries and frameworks
JadenGeller/Helium,2418,149,Swift,Non-web libraries and frameworks
magit/magit,2417,444,Emacs Lisp,Software tools
HospitalRun/hospitalrun-frontend,2416,579,JavaScript,Application software
kissyteam/kissy,2416,950,JavaScript,Non-web libraries and frameworks
PaulUithol/Backbone-relational,2416,369,JavaScript,Non-web libraries and frameworks
Humanizr/Humanizer,2414,416,C#,Non-web libraries and frameworks
kelektiv/node.bcrypt.js,2414,203,C++,Non-web libraries and frameworks
grantland/android-autofittextview,2413,467,Java,Non-web libraries and frameworks
eddiezane/lunchy,2413,108,Ruby,Software tools
klaussilveira/gitlist,2412,467,CSS,Application software
gimite/web-socket-js,2412,415,JavaScript,Web libraries and frameworks
davidjbradshaw/iframe-resizer,2412,360,JavaScript,Web libraries and frameworks
ninja-build/ninja,2411,401,C++,Software tools
jonls/redshift,2411,179,C,Application software
sokolovstas/SublimeWebInspector,2411,106,Python,Software tools
jmoiron/sqlx,2410,211,Go,Non-web libraries and frameworks
swannodette/mori,2410,118,Clojure,Web libraries and frameworks
pedrovgs/DraggablePanel,2409,515,Java,Non-web libraries and frameworks
Khan/aphrodite,2409,83,JavaScript,Web libraries and frameworks
NeXTs/Jets.js,2409,99,JavaScript,Web libraries and frameworks
Yomguithereal/baobab,2409,99,JavaScript,Web libraries and frameworks
defunkt/gist,2409,240,Ruby,Software tools
psaravan/JamsMusicPlayer,2407,1124,Java,Application software
NextStepWebs/simplemde-markdown-editor,2407,365,JavaScript,Web libraries and frameworks
motdotla/dotenv,2407,105,JavaScript,Non-web libraries and frameworks
inuyaksa/jquery.nicescroll,2406,939,JavaScript,Web libraries and frameworks
adamschwartz/log,2404,130,JavaScript,Non-web libraries and frameworks
Unknwon/go-fundamental-programming,2403,800,Go,Documentation
mootools/mootools-core,2403,485,JavaScript,Web libraries and frameworks
EsotericSoftware/kryo,2400,431,HTML,Non-web libraries and frameworks
mawww/kakoune,2399,146,C++,Software tools
openpgpjs/openpgpjs,2398,337,JavaScript,Non-web libraries and frameworks
OpenRCT2/OpenRCT2,2398,403,C,Application software
xoreaxeaxeax/movfuscator,2398,148,C,Software tools
Hironsan/BossSensor,2397,396,Python,Application software
devtools-html/debugger.html,2397,194,JavaScript,Software tools
Linuxbrew/legacy-linuxbrew,2397,331,Ruby,Software tools
johnpolacek/superscrollorama,2396,586,JavaScript,Web libraries and frameworks
RNCryptor/RNCryptor,2396,414,Swift,Non-web libraries and frameworks
ctran/annotate_models,2396,315,Ruby,Software tools
balanced/balanced-dashboard,2395,437,JavaScript,Web libraries and frameworks
nodegit/nodegit,2395,363,JavaScript,Non-web libraries and frameworks
peterbraden/node-opencv,2394,479,C++,Non-web libraries and frameworks
elixir-ecto/ecto,2394,556,Elixir,Non-web libraries and frameworks
vasanthk/js-bits,2394,184,JavaScript,Documentation
vuejs/vue-devtools,2394,242,JavaScript,Software tools
grosser/parallel,2393,161,Ruby,Non-web libraries and frameworks
Comcast/FreeFlow,2392,429,Java,Non-web libraries and frameworks
bblimke/webmock,2392,348,Ruby,Web libraries and frameworks
DataScienceSpecialization/courses,2391,23457,HTML,Documentation
HumbleSoftware/Flotr2,2391,520,JavaScript,Web libraries and frameworks
reagent-project/reagent,2391,171,Clojure,Web libraries and frameworks
parallel-js/parallel.js,2391,181,JavaScript,Non-web libraries and frameworks
edavis10/redmine,2391,731,Ruby,Application software
minetest/minetest,2390,725,C++,Application software
joelittlejohn/jsonschema2pojo,2390,744,Java,Non-web libraries and frameworks
davidhalter/jedi,2390,208,Python,Software tools
sketchplugins/plugin-directory,2389,288,Ruby,Software tools
scotch-io/scotch-box,2387,517,PHP,Software tools
yinwang0/pysonar2,2386,647,Java,Non-web libraries and frameworks
graphql/graphiql,2386,174,JavaScript,Web libraries and frameworks
kattrali/cocoapods-xcode-plugin,2385,358,Objective-C,Software tools
Microsoft/LightGBM,2384,504,C++,Software tools
tilemill-project/tilemill,2383,456,JavaScript,Application software
hirak/prestissimo,2383,70,PHP,Software tools
addyosmani/psi,2383,79,JavaScript,Software tools
mjibson/goread,2380,327,JavaScript,Application software
gmoledina/GMGridView,2380,599,Objective-C,Non-web libraries and frameworks
mikepenz/Android-Iconics,2377,334,Java,Non-web libraries and frameworks
kanboard/kanboard,2377,740,PHP,Software tools
thomasdavis/backbonetutorials,2376,2023,JavaScript,Documentation
lg/murder,2376,225,Ruby,System software
nicklockwood/SwipeView,2376,381,Objective-C,Non-web libraries and frameworks
loopj/jquery-tokeninput,2375,1043,JavaScript,Web libraries and frameworks
posabsolute/jQuery-Validation-Engine,2374,1212,JavaScript,Web libraries and frameworks
rmccue/Requests,2374,341,PHP,Web libraries and frameworks
top-think/think,2373,725,PHP,Web libraries and frameworks
postrank-labs/goliath,2373,220,Ruby,Web libraries and frameworks
pytorch/pytorch,2373,178,Python,Non-web libraries and frameworks
angular/batarang,2372,342,JavaScript,Software tools
DreaminginCodeZH/Douya,2372,659,Java,Application software
coreos/fleet,2372,300,Go,Software tools
gorakhargosh/watchdog,2372,324,Python,Software tools
jfeinstein10/JazzyViewPager,2371,879,Java,Non-web libraries and frameworks
fex-team/ueditor,2371,1035,JavaScript,Web libraries and frameworks
jverkoey/iOS-Framework,2370,307,Objective-C,Non-web libraries and frameworks
renzifeng/ZFPlayer,2370,545,Objective-C,Non-web libraries and frameworks
Mozharovsky/CVCalendar,2369,448,Swift,Non-web libraries and frameworks
nlf/dlite,2369,56,Go,Software tools
sparanoid/chinese-copywriting-guidelines,2368,349,CoffeeScript,Documentation
emirpasic/gods,2368,185,Go,Non-web libraries and frameworks
xviniette/FlappyLearning,2368,201,JavaScript,Documentation
pyinstaller/pyinstaller,2367,582,Python,Software tools
clibs/clib,2366,129,C,Software tools
code-troopers/android-betterpickers,2365,550,Java,Non-web libraries and frameworks
coolnameismy/BabyBluetooth,2365,601,Objective-C,Non-web libraries and frameworks
livid/v2ex,2364,463,Python,Application software
madrobby/scriptaculous,2364,521,HTML,Web libraries and frameworks
vnpy/vnpy,2362,1345,C++,Web libraries and frameworks
pedrovgs/AndroidWiFiADB,2362,264,Java,Software tools
mdo/wtf-forms,2361,130,CSS,Web libraries and frameworks
SpecialCyCi/AndroidResideMenu,2360,1105,Java,Non-web libraries and frameworks
grpc/grpc-java,2359,725,Java,Non-web libraries and frameworks
top-think/thinkphp,2358,1542,PHP,Web libraries and frameworks
processing-js/processing-js,2357,699,Processing,Web libraries and frameworks
nkrode/RedisLive,2357,461,JavaScript,Software tools
rFlex/SCRecorder,2357,464,Objective-C,Non-web libraries and frameworks
Serhioromano/bootstrap-calendar,2356,1219,JavaScript,Web libraries and frameworks
cucumber/cucumber-js,2356,429,JavaScript,Non-web libraries and frameworks
rabbitmq/rabbitmq-server,2356,550,Erlang,System software
playcanvas/engine,2356,466,JavaScript,Web libraries and frameworks
PMSI-AlignAlytics/dimple,2355,456,JavaScript,Web libraries and frameworks
rickytan/RTImageAssets,2355,357,Objective-C,Non-web libraries and frameworks
omab/django-social-auth,2354,769,Python,Web libraries and frameworks
requirejs/almond,2354,165,JavaScript,Non-web libraries and frameworks
thearn/webcam-pulse-detector,2353,345,Python,Application software
LitePalFramework/LitePal,2353,739,Java,Non-web libraries and frameworks
pickhardt/betty,2353,189,Ruby,Software tools
adamdbradley/foresight.js,2352,100,JavaScript,Web libraries and frameworks
documentationjs/documentation,2352,137,JavaScript,Software tools
firebase/angularfire,2351,566,JavaScript,Web libraries and frameworks
substack/node-optimist,2351,137,JavaScript,Non-web libraries and frameworks
Mrs4s/BaiduPanDownload,2347,426,C#,Software tools
gongjianhui/AppleDNS,2346,339,Python,Software tools
cloudius-systems/osv,2346,438,C,System software
usmanhalalit/charisma,2345,1277,HTML,Web libraries and frameworks
rust-lang/rust-by-example,2345,332,Rust,Documentation
cesarferreira/dryrun,2345,167,Ruby,Software tools
dmytrodanylyk/android-process-button,2344,526,Java,Non-web libraries and frameworks
xat/castnow,2344,166,JavaScript,Application software
ProseMirror/prosemirror,2343,154,JavaScript,Web libraries and frameworks
jankotek/mapdb,2342,550,Java,Non-web libraries and frameworks
diafygi/webrtc-ips,2342,362,HTML,Documentation
requirejs/r.js,2342,637,JavaScript,Software tools
Tonejs/Tone.js,2342,199,JavaScript,Web libraries and frameworks
objc-zen/objc-zen-book,2341,354,Ruby,Documentation
PolymerElements/polymer-starter-kit,2340,658,HTML,Web libraries and frameworks
puniverse/quasar,2340,259,Java,Non-web libraries and frameworks
iovisor/bcc,2339,313,C++,Software tools
yui/yuicompressor,2338,558,Java,Non-web libraries and frameworks
michelf/php-markdown,2338,450,PHP,Web libraries and frameworks
wasabeef/Blurry,2338,306,Java,Non-web libraries and frameworks
Croteam-official/Serious-Engine,2337,285,C++,Non-web libraries and frameworks
PyMySQL/PyMySQL,2337,534,Python,Non-web libraries and frameworks
gabrielemariotti/RecyclerViewItemAnimators,2337,585,Java,Non-web libraries and frameworks
gliderlabs/logspout,2337,392,Go,Software tools
ocombe/ocLazyLoad,2336,416,JavaScript,Web libraries and frameworks
airbnb/epoxy,2336,156,Java,Non-web libraries and frameworks
jacoborus/nanobar,2336,216,JavaScript,Web libraries and frameworks
